day_of_week,hour_of_day,post_count
1,0,7186
1,1,6763
1,2,6909
1,3,6688
1,4,6365
1,5,6191
1,6,5925
1,7,5807
1,8,5208
1,9,4887
1,10,5051
1,11,4998
1,12,5307
1,13,5989
1,14,6998
1,15,7665
1,16,7986
1,17,8161
1,18,8397
1,19,8461
1,20,8450
1,21,8719
1,22,8540
1,23,8104
2,0,8076
2,1,7846
2,2,7991
2,3,7636
2,4,7510
2,5,6920
2,6,6226
2,7,5695
2,8,5290
2,9,5231
2,10,5284
2,11,5129
2,12,5783
2,13,6895
2,14,7553
2,15,8361
2,16,8920
2,17,8771
2,18,8955
2,19,9107
2,20,9032
2,21,8890
2,22,8594
2,23,8064
3,0,7805
3,1,7787
3,2,7536
3,3,7434
3,4,7239
3,5,6701
3,6,6013
3,7,5286
3,8,4782
3,9,4618
3,10,4695
3,11,5198
3,12,5656
3,13,6576
3,14,7548
3,15,8260
3,16,8430
3,17,8666
3,18,8834
3,19,8722
3,20,8813
3,21,8747
3,22,8519
3,23,7895
4,0,7650
4,1,7481
4,2,7439
4,3,7490
4,4,7284
4,5,6442
4,6,5959
4,7,5388
4,8,5331
4,9,4924
4,10,4614
4,11,5045
4,12,5556
4,13,6570
4,14,7206
4,15,8034
4,16,8237
4,17,8760
4,18,8550
4,19,8541
4,20,8445
4,21,8151
4,22,8261
4,23,7623
5,0,7686
5,1,7501
5,2,7489
5,3,6977
5,4,6768
5,5,6349
5,6,5789
5,7,5331
5,8,4792
5,9,4495
5,10,4488
5,11,4870
5,12,5136
5,13,5976
5,14,7037
5,15,7934
5,16,8310
5,17,8137
5,18,8274
5,19,7895
5,20,8017
5,21,7935
5,22,7945
5,23,7706
6,0,7149
6,1,7082
6,2,6992
6,3,6924
6,4,6757
6,5,6055
6,6,5757
6,7,5097
6,8,4750
6,9,4507
6,10,4471
6,11,4511
6,12,5157
6,13,5889
6,14,6722
6,15,7387
6,16,7528
6,17,7726
6,18,7807
6,19,7641
6,20,7688
6,21,7228
6,22,7035
6,23,6965
7,0,6608
7,1,6529
7,2,6307
7,3,6416
7,4,6292
7,5,5943
7,6,5453
7,7,5110
7,8,4684
7,9,4495
7,10,4317
7,11,4496
7,12,4880
7,13,5476
7,14,6101
7,15,6921
7,16,6865
7,17,7237
7,18,7595
7,19,7453
7,20,7166
7,21,7674
7,22,7466
7,23,7248
