id,clean_text,top_topic
13x33ug,f@prove@boyfriend@m@boyfriend@trust@issu@past@relationship@carri@dealt@three@situat@abus@cant@accept@told@truth@believ@willingli@partak@situat@caus@major@rift@relationship@second@time@post@gotten@point@consid@break@love@desper@want@show@truth@noth@work@far@know@partial@struggl@rememb@detail@start@consist@sinc@friend@tell@slut@believ@iv@run@idea@convinc@he@told@famili@obvious@side@consid@end@thing@love@want@lose@thought@hurt@much@terrifi@might@stuck@pleas@advic@tremend@help@thank,0
16izbhb,m@m@ever@us@dildo@roller@coaster@sat@dildo@ride@anyon@ride@rather@gui@girl@dildo@part@seat@cant@take@wear@special@pant@privat@area@expos@insert@ride@goe@two@loop@minut@long@roller@coaster@alreadi@bounci@youll@technic@move@rider@done@seat@go@deep@clean@chamber@prevent@infect@rider@us@get@ride,1
168yqhd,m@wife@f@told@want@open@relationship@year@marriag@im@complet@done@m@marri@wife@f@year@weve@date@even@longer@u@high@school@sweetheart@us@plai@start@wide@receiv@cheerlead@natur@click@anywai@onto@stori@first@let@hop@muh@fuckin@porsch@dont@want@ass@dont@sit@like@hors@ballin@homi@got@feelin@like@sport@dash@got@much@wood@build@fort@aint@mani@thing@aint@done@yet@im@king@shit@crown@toilet@im@bare@gettin@start@alreadi@upset@got@tiger@pet@took@vet@homi@makin@hit@im@rap@derek@jeter@let@girl@ride@like@feeder@coochi@aint@good@probabl@wont@fe@lil@homi@keep@caus@realli@dont@ne@aint@worri@bout@featur@homeboi@you@peon@toilet@seat@ass@homi@man@swear@gettin@pe@man@jewelri@cold@walk@around@heat@alarm@clock@set@case@wanna@sleep@ya@dig@im@fulltim@player@hoppin@allig@sippin@lean@later@homi@ill@annihil@ya@think@wanna@battl@gon@pai@paper@hit@quit@never@ever@date@shame@im@bare@gettin@love@citi@travel@anoth@town@bet@fuckin@killin@shit@prai@god@forgiv@said@blow@dont@forget@man@fire@ever@sinc@made@lighter@boi@pull@ya@homi@aint@talkin@diaper@walk@function@point@im@like@sniper@girl@bad@like@dej@loaf@dont@try@flexin@want@homeboi@aint@readi@ten@time@sharper@michael@myer@machet@monei@aint@worri@bout@fame@bout@everybodi@sayin@rickei@wayn,2
13x33tq,f@mom@f@went@doctor@health@behind@back@tw@ed@weight@loss@context@f@alwai@bit@bigger@girl@im@mean@morbidli@obes@health@issu@relat@weight@im@happi@life@weight@doesnt@inhibit@wai@mom@f@want@lose@weight@sinc@junior@high@thing@older@sister@alwai@heavier@mom@gotten@gastric@bypass@young@overweight@hashimoto@sinc@hound@sister@lose@weight@sinc@slim@older@sister@got@gastric@sleev@year@ago@main@attent@shift@sister@coupl@health@issu@weight@relat@make@hard@lose@weight@pco@autoimmun@diseas@caus@go@anaphylaxi@small@increas@bodi@temperatur@crazi@know@therefor@normal@exercis@isnt@someth@mom@push@get@weight@loss@surgeri@im@honestli@interest@dont@qualifi@on@unless@bring@autoimmun@diseas@mayb@iv@learn@love@bodi@past@coupl@year@recent@bought@hous@im@work@realli@hard@make@healthier@food@choic@kid@bad@relationship@food@mom@watch@bounc@back@forth@bing@eat@starvat@lose@weight@genuin@believ@big@part@issu@center@around@mom@berat@weight@entir@life@approxim@week@ago@mom@appoint@pcp@hometown@appoint@call@tell@talk@brought@get@weight@loss@inject@ozemp@similar@drug@told@doctor@told@think@start@inject@discuss@weight@autoimmun@diseas@pco@insur@etc@told@mai@begin@stage@diabet@weight@worri@iv@never@issu@high@blood@sugar@symptom@diabet@wai@iv@hypoglycem@time@actual@told@wai@get@insur@cover@shot@even@order@test@get@done@doctor@never@seen@patient@mom@permiss@speak@health@medic@profession@clinic@access@medic@record@thar@clinic@went@differ@doctor@clinic@move@hometown@mom@alwai@done@thing@pretti@similar@entir@life@brought@boyfriend@m@absolut@appal@he@hurt@feel@pressur@chang@order@pleas@mom@im@happi@want@confront@also@dont@realli@feel@like@caus@bunch@drama@amongst@famili@iv@work@realli@hard@love@bodi@im@realli@piss@mom@done@feel@like@disappoint@havent@lost@weight@like@try@best@keep@person@busi@still@believ@entitl@weight@someth@obvious@cant@hide@boyfriend@encourag@confront@attempt@keep@im@sure@realli@even@worth@wonder@huge@fight@worth@bring@hurt@might@even@care@alwai@test@pretend@didnt@happen@time@want@stop@weight@talk@mom@alwai@insecur@weight@think@mayb@doesnt@understand@happi@skinni@im@sure@confront@definit@lead@fight@like@end@drag@stepdad@sister@sai@anyth@keep@peac,3
13xavd8,f@m@match@gui@hing@went@multipl@date@within@first@week@slept@x@didnt@sex@on@want@wait@ask@dinner@dai@complet@flake@never@respond@messag@etc@went@ghost@dai@came@around@text@hei@ask@dinner@x@flake@dai@ran@weekend@slept@told@everyth@feel@made@joke@saye@narcissist@soon@said@yeah@know@tell@goe@im@kid@fulli@think@realli@enjoi@time@idk@he@sudden@im@mad@annoi@bc@got@along@well@kept@tell@realli@like@etc@im@confus@doesnt@add@narcissist,4
13x64dl,m@father@m@know@ow@grandson@right@stop@believ@relev@state@graduat@colleg@m@parent@hous@weekend@nowher@father@yo@state@know@ow@grandson@right@wife@ish@ad@ne@keep@famili@name@aliv@record@nobil@kind@closest@find@famili@lineag@lucretia@borgia@definit@last@name@know@unstabl@last@year@finish@school@otherwis@pop@convers@simpli@said@tell@none@concern@famili@name@di@younger@brother@he@six@told@unaccept@thrust@respons@onto@father@suggest@shoot@scoot@obvious@famili@name@still@die@event@even@threaten@write@promis@modest@estat@death@fulfil@oblig@even@though@objection@human@classist@racist@xenophob@dont@want@complet@write@famili@life@go@ne@shield@kid@bullshit@tri@brainwash@addit@context@think@help@give@advic@war@veteran@ptsd@eat@disord@face@sai@kind@horribl@thing@directli@month@ago@told@asham@still@graduat@univers@didnt@real@job@word@mine@try@answer@question@morn@thank@advanc@tldr@get@old@man@stop@tell@ow@grandson@absolut@zero@intent@reproduc@ever,5
13yk2vf,m@keen@childrengf@f@insist@on@m@girlfriend@date@year@nowi@alwai@mention@keen@childrenw@alwai@plan@long@term@whenev@topic@children@comei@try@discourag@chang@topicit@eventu@turn@fight@caus@simpli@wont@let@go@itthough@good@kidsi@never@felt@like@give@birth@onei@simpli@fit@rais@child@mad@respect@everyon@ne@advic@tackl@situat@girlfriendi@know@eventu@gonna@creat@huge@rift@relationship,6
14ryfa4,husband@us@acn@ammo@m@f@husband@got@fight@us@acn@said@ugli@ass@pimpl@face@realli@shaken@iv@much@regard@acn@hospit@accutan@iv@try@everyth@book@acn@made@depress@humili@comment@made@struck@he@sinc@apolog@said@didnt@mean@clue@recov@everi@time@look@believ@he@stare@acn@truth@come@peopl@mad,7
13x98gl,f@m@f@boyfriend@m@date@year@half@around@on@year@caught@look@lot@inappropri@stuff@onlin@wasnt@exactli@origin@look@swore@promis@mani@time@hadnt@activ@sexual@ever@sinc@caught@stop@look@stuff@he@bare@sexual@everi@time@try@iniat@deni@person@text@never@anymor@tonight@brought@admit@doesnt@like@make@want@look@assur@im@on@he@sexual@attract@realli@true@promis@that@case@wouldnt@abl@stuff@without@restrain@onlin@girl,8
13x2zzb,f@bf@m@year@get@upset@kid@schedul@free@time@unfair@titl@sai@f@daughter@playoff@seri@sport@son@plai@multipl@team@limit@childcar@limit@u@spend@weekend@togeth@late@weekend@cut@due@sport@normal@boyfriend@m@doesnt@ever@give@issu@alwai@allow@tag@along@doesnt@feel@miss@he@take@make@time@im@try@best@mom@partner@sure@navig@slightli@feel@unfair@todai@rd@anniversari@togeth@dont@want@fight@kid@game@look@stand@see@feel@like@someon@tell@peopl@much@love@mother@he@contradict@almost@make@pick@im@sure@navig@convers@seem@unfair@gui@updat@todai@he@complet@normal@back@lovei@dovei@liter@tantrum,9
