topic,termIndices,termWeights,topic_words
0,"[2, 10, 1, 3, 4, 0, 11, 82, 5, 13]","[0.016462975170706832, 0.014591445533951697, 0.013738808065114417, 0.013181560886245341, 0.012431518137090616, 0.010956997802459586, 0.008842845104834192, 0.008686351902508372, 0.007989737176896971, 0.00784382594522201]","feel, relationship, want, im, time, like, thing, sex, dont, year"
1,"[0, 5, 6, 2, 1, 14, 12, 10, 7, 8]","[0.00783216973466772, 0.0062848200404955045, 0.006096908045311927, 0.0058314293186883005, 0.005545043571496594, 0.004926831563039514, 0.004775787817277976, 0.003889708088067022, 0.0036663363124479703, 0.0035248423246247423]","like, dont, get, feel, want, m, f, relationship, know, go"
2,"[3, 1, 10, 2, 0, 5, 3267, 12, 8, 14]","[0.007311011002329037, 0.006655575940213464, 0.005539982051289341, 0.005506159471725015, 0.005404203901028015, 0.005400075377516482, 0.005398204623526676, 0.005123779919790004, 0.005090685008513451, 0.004597156592403168]","im, want, relationship, feel, like, dont, jim, f, go, m"
3,"[3, 6, 61, 0, 4, 12, 13, 1, 5, 123]","[0.008911247642447663, 0.008534221213586154, 0.008324226903730756, 0.008178877681310542, 0.007985210130116065, 0.007408479485852873, 0.007249505795508766, 0.007114860565193578, 0.007089668908975125, 0.006680217650002294]","im, get, live, like, time, f, year, want, dont, hous"
4,"[9, 15, 70, 19, 1, 16, 4, 25, 18, 41]","[0.02224316109251652, 0.01387311542887169, 0.012242215211093645, 0.012113587028422102, 0.01202401447870662, 0.010166024667076449, 0.010001632122918398, 0.009680396490035735, 0.009675740776489961, 0.00967118603183753]","friend, said, text, told, want, talk, time, didnt, ask, date"
5,"[210, 9, 13, 71, 1, 4, 8, 19, 281, 0]","[0.012173467184754507, 0.010519662476441882, 0.0094227212064029, 0.008851946111221146, 0.008359307554110974, 0.007889050282293999, 0.0076448401459720036, 0.007604237908645418, 0.007447332412942427, 0.006420823096848127]","wife, friend, year, famili, want, time, go, told, mother, like"
6,"[2, 1, 0, 13, 9, 4, 5, 10, 6, 3]","[0.013397892369717288, 0.012226400624685363, 0.011757467812822166, 0.008859944026978445, 0.008832918572084054, 0.008442256784165745, 0.008226117806928222, 0.007937703388342621, 0.007722563444387282, 0.00730762339822783]","feel, want, like, year, friend, time, dont, relationship, get, im"
7,"[4, 0, 16, 2, 6, 23, 28, 1, 26, 15]","[0.013941864786824146, 0.008432686551546149, 0.007276098925997451, 0.00712012360773885, 0.0067079221187904565, 0.006049268259211463, 0.005818316711903372, 0.005668199628830499, 0.00565719993760231, 0.005595774087647464]","time, like, talk, feel, get, work, start, want, dai, said"
8,"[277, 15, 12, 128, 3, 394, 5, 19, 7, 18]","[0.01007330252828139, 0.009728759664703582, 0.00929526380043438, 0.009188291761550192, 0.00882580159991043, 0.008722041004272577, 0.00797970963288896, 0.007896803883165599, 0.007896438276187972, 0.007864600431228537]","women, said, f, phone, im, men, dont, told, know, ask"
9,"[0, 3, 1, 2, 4, 6, 8, 23, 5, 11]","[0.013974041950140736, 0.01290287600914756, 0.012320239782892274, 0.011485178825816624, 0.011420289078027746, 0.010708782751545048, 0.009670934589594742, 0.009526112300674431, 0.009243579982246624, 0.009014826419458407]","like, im, want, feel, time, get, go, work, dont, thing"
10,"[1, 5, 9, 3, 6882, 0, 6, 8, 7, 20]","[0.0062447927137974, 0.005263239645945629, 0.004594438433648168, 0.004390447304483025, 0.003998406560413435, 0.003994342393660511, 0.0038089068200527964, 0.0034982022190312425, 0.0034121852802197843, 0.003248925847910187]","want, dont, friend, im, ich, like, get, go, know, make"
11,"[1, 2, 3, 0, 5, 10, 7, 13, 24, 4]","[0.017939185246689894, 0.016318744637092392, 0.01525909552239149, 0.013664810691098291, 0.012483238841846805, 0.011678283078563393, 0.011364901703945588, 0.01101385935465834, 0.010810164267066658, 0.009516037306953157]","want, feel, im, like, dont, relationship, know, year, love, time"
12,"[0, 9, 3, 2, 1, 4, 16, 7, 5, 8]","[0.017757197677937864, 0.015585475882830942, 0.012418062243683727, 0.012002348372376475, 0.010390262205121483, 0.01035137659123163, 0.009983383007865986, 0.009638293785255991, 0.009567778824163086, 0.00931980344495573]","like, friend, im, feel, want, time, talk, know, dont, go"
13,"[1363, 2, 1, 19, 10, 16, 2322, 4, 15, 14]","[0.012688558368646777, 0.008098336235724061, 0.006597242331888793, 0.006318809642367607, 0.00614601846556888, 0.006063431763847269, 0.005693435333991145, 0.0055851255770852145, 0.005505187244350186, 0.005420631375144857]","john, feel, want, told, relationship, talk, joe, time, said, m"
14,"[2, 3, 24, 5, 0, 6, 4, 7, 9, 13]","[0.00879288906704126, 0.007796334577154003, 0.007716214838412396, 0.007072249391034174, 0.0069674283553700376, 0.005254743786041684, 0.005189504929105686, 0.004989496978735223, 0.0046731337569685906, 0.00464833625736356]","feel, im, love, dont, like, get, time, know, friend, year"
