feature,importance
lag_1,0.2131327904818351
rolling_mean_14,0.1927134334282285
rolling_mean_7,0.1646073042743565
lag_2,0.15581808014323942
rolling_mean_30,0.0815778077904493
lag_7,0.04430386906590663
lag_3,0.030008556652278213
lag_14,0.02242910823914805
lag_21,0.01586679174697745
day_of_week,0.014864917195882421
rolling_std_14,0.013550871922819382
fourier_sin_1,0.011409805627242338
fourier_cos_1,0.010762622777457839
lag_28,0.006962704138012072
is_weekend,0.006184150801407968
month,0.005843212558077556
rolling_std_7,0.0057826874011296416
day_of_year,0.004181285755551836
